Kabupaten_Kota,Tanggal,RF_Pred,LGBM_Pred,Blended_Pred
Kabupaten Madiun,2025-07-01,47241.1239,58221.48868960039,52731.30629480019
Kabupaten Madiun,2025-08-01,72194.18219999997,87110.02076681665,79652.1014834083
Kabupaten Madiun,2025-09-01,18399.75239999999,14920.680218840453,16660.216309420222
Kabupaten Madiun,2025-10-01,6900.237000000003,5732.0726061277,6316.154803063851
Kabupaten Madiun,2025-11-01,37471.4336,22004.99559583509,29738.214597917544
Kabupaten Madiun,2025-12-01,55998.29520000002,33323.92157407271,44661.108387036365
Kabupaten Magetan,2025-01-01,4278.0335,3581.3965792922063,3929.715039646103
Kabupaten Magetan,2025-02-01,6067.0138,9338.952271651116,7702.9830358255585
Kabupaten Magetan,2025-03-01,64036.8674,59237.2479177737,61637.05765888685
Kabupaten Magetan,2025-04-01,34416.23040000001,35545.58084258809,34980.90562129405
Kabupaten Magetan,2025-05-01,6530.423600000002,8101.073920011292,7315.748760005647
Kabupaten Magetan,2025-06-01,29336.94179999998,20724.932061835258,25030.936930917618
Kabupaten Magetan,2025-07-01,37305.8171,37856.22187395433,37581.019486977166
Kabupaten Magetan,2025-08-01,20323.784700000004,18894.061505113514,19608.923102556757
Kabupaten Magetan,2025-09-01,4570.959499999999,3700.808932972752,4135.884216486375
Kabupaten Magetan,2025-10-01,10078.2469,5893.334756954525,7985.790828477262
Kabupaten Magetan,2025-11-01,25936.71289999999,21957.424232099333,23947.06856604966
Kabupaten Magetan,2025-12-01,19860.331000000002,24000.913526464665,21930.622263232333
Kabupaten Malang,2025-01-01,16814.434500000003,16247.411938369089,16530.923219184544
Kabupaten Malang,2025-02-01,11770.205799999996,13225.645543500703,12497.925671750349
Kabupaten Malang,2025-03-01,18870.294900000008,16945.53407716953,17907.91448858477
Kabupaten Malang,2025-04-01,20806.046299999998,22175.090570172648,21490.568435086323
Kabupaten Malang,2025-05-01,37153.48020000002,38062.49045921386,37607.98532960694
Kabupaten Malang,2025-06-01,34783.32450000001,36857.22794525798,35820.27622262899
Kabupaten Malang,2025-07-01,25570.85559999999,22005.257633170495,23788.056616585243
Kabupaten Malang,2025-08-01,15956.583399999992,12953.17789208339,14454.88064604169
Kabupaten Malang,2025-09-01,12423.6174,9301.994495142671,10862.805947571334
Kabupaten Malang,2025-10-01,18511.521699999998,15262.075241913453,16886.798470956724
Kabupaten Malang,2025-11-01,17889.375899999995,17717.8682702149,17803.622085107447
Kabupaten Malang,2025-12-01,16416.790299999997,17588.979682935424,17002.884991467712
Kabupaten Mojokerto,2025-01-01,5662.458400000002,4958.5135326580985,5310.48596632905
Kabupaten Mojokerto,2025-02-01,11342.5758,11185.927035663932,11264.251417831965
Kabupaten Mojokerto,2025-03-01,43002.76380000001,56119.860946085406,49561.3123730427
Kabupaten Mojokerto,2025-04-01,54217.42849999999,51499.27065293834,52858.34957646916
Kabupaten Mojokerto,2025-05-01,37484.94480000001,30632.23739998027,34058.59109999014
Kabupaten Mojokerto,2025-06-01,17450.5054,15808.69409057319,16629.599745286592
Kabupaten Mojokerto,2025-07-01,24568.4408,20643.35189899028,22605.89634949514
Kabupaten Mojokerto,2025-08-01,27191.59169999997,24294.16160361276,25742.876651806364
Kabupaten Mojokerto,2025-09-01,30219.314799999996,19479.21642843785,24849.265614218923
Kabupaten Mojokerto,2025-10-01,18802.9136,18841.105861330758,18822.009730665377
Kabupaten Mojokerto,2025-11-01,9895.672899999996,10867.461070588999,10381.566985294497
Kabupaten Mojokerto,2025-12-01,5904.3582000000015,7073.0076732141915,6488.682936607096
Kabupaten Nganjuk,2025-01-01,5891.792499999997,3720.471556538495,4806.132028269246
Kabupaten Nganjuk,2025-02-01,9839.0581,6692.5963846085715,8265.827242304285
Kabupaten Nganjuk,2025-03-01,94283.75639999998,84020.71520750439,89152.23580375218
Kabupaten Nganjuk,2025-04-01,63990.764799999975,56679.5470744418,60335.15593722089
Kabupaten Nganjuk,2025-05-01,22653.216699999994,17764.342888736606,20208.7797943683
Kabupaten Nganjuk,2025-06-01,29429.53609999999,30254.224127092555,29841.88011354627
Kabupaten Nganjuk,2025-07-01,69016.42109999996,75761.95408670146,72389.18759335071
Kabupaten Nganjuk,2025-08-01,24009.9377,19937.24161786335,21973.589658931676
Kabupaten Nganjuk,2025-09-01,15214.881199999987,9810.240248768378,12512.560724384182
Kabupaten Nganjuk,2025-10-01,15672.144100000007,9514.404540080262,12593.274320040135
Kabupaten Nganjuk,2025-11-01,18487.6681,19735.850477143056,19111.759288571528
Kabupaten Nganjuk,2025-12-01,14313.908899999999,18744.803599963292,16529.356249981647
Kabupaten Ngawi,2025-01-01,16389.5945,13833.960345987947,15111.777422993973
Kabupaten Ngawi,2025-02-01,11727.159100000004,8145.82311369634,9936.491106848172
Kabupaten Ngawi,2025-03-01,126634.64499999996,139687.93832986808,133161.29166493402
Kabupaten Ngawi,2025-04-01,163002.22589999987,130862.63391424612,146932.429907123
Kabupaten Ngawi,2025-05-01,27902.530900000012,21354.3081910205,24628.419545510256
Kabupaten Ngawi,2025-06-01,28319.666900000004,23215.42423540577,25767.545567702888
Kabupaten Ngawi,2025-07-01,123880.20469999999,129239.71953399593,126559.96211699795
Kabupaten Ngawi,2025-08-01,112008.89340000002,106414.05644376753,109211.47492188378
Kabupaten Ngawi,2025-09-01,29181.0529,14732.053360935472,21956.553130467735
Kabupaten Ngawi,2025-10-01,33229.5492,20913.263783053302,27071.40649152665
Kabupaten Ngawi,2025-11-01,115094.931,100128.68267360171,107611.80683680085
Kabupaten Ngawi,2025-12-01,71130.59399999995,66346.1132579975,68738.35362899872
Kabupaten Pacitan,2025-01-01,716.7249499999997,831.3803782680992,774.0526641340495
Kabupaten Pacitan,2025-02-01,1300.6846000000003,709.666013770123,1005.1753068850617
Kabupaten Pacitan,2025-03-01,10951.572100000001,8367.33192470668,9659.45201235334
Kabupaten Pacitan,2025-04-01,18770.9369,19323.516663034126,19047.226781517064
Kabupaten Pacitan,2025-05-01,12839.383399999999,14166.613909318732,13502.998654659365
Kabupaten Pacitan,2025-06-01,6320.498900000001,3012.4830010116743,4666.490950505838
Kabupaten Pacitan,2025-07-01,2739.8244000000004,3418.418893758755,3079.1216468793777
Kabupaten Pacitan,2025-08-01,6014.0405,5374.056036018561,5694.048268009281
Kabupaten Pacitan,2025-09-01,2601.1564,0.0,1185.7354653728219
Kabupaten Pacitan,2025-10-01,895.2486500000003,0.0,0.0
Kabupaten Pacitan,2025-11-01,564.8778000000001,198.23571063054695,381.5567553152735
Kabupaten Pacitan,2025-12-01,1400.9254499999997,1797.300851013647,1599.1131505068233
Kabupaten Pamekasan,2025-01-01,209.55404999999996,242.3881611402341,225.97110557011703
Kabupaten Pamekasan,2025-02-01,2400.67515,3005.6991932899336,2703.187171644967
Kabupaten Pamekasan,2025-03-01,41946.351200000005,30444.60531589593,36195.478257947965
Kabupaten Pamekasan,2025-04-01,52774.19689999999,43559.49371376279,48166.84530688139
Kabupaten Pamekasan,2025-05-01,12152.68569999999,7418.007165365329,9785.34643268266
Kabupaten Pamekasan,2025-06-01,2496.165999999999,2360.4805527772223,2428.323276388611
Kabupaten Pamekasan,2025-07-01,1458.0875499999995,5214.845173888123,3336.466361944061
Kabupaten Pamekasan,2025-08-01,1657.4560999999992,3260.832531454477,2459.144315727238
Kabupaten Pamekasan,2025-09-01,975.8719999999998,0.0,0.0
Kabupaten Pamekasan,2025-10-01,393.6896,0.0,0.0
Kabupaten Pamekasan,2025-11-01,291.73875,0.0,0.0
Kabupaten Pamekasan,2025-12-01,125.64235,2146.6049654018116,1136.1236577009058
Kabupaten Pasuruan,2025-01-01,14195.263999999997,13884.853301736674,14040.058650868335
Kabupaten Pasuruan,2025-02-01,18732.602,16277.942026993127,17505.272013496564
Kabupaten Pasuruan,2025-03-01,33965.56860000002,29378.46061061143,31672.014605305725
Kabupaten Pasuruan,2025-04-01,43887.8926,23861.29964423624,33874.59612211812
Kabupaten Pasuruan,2025-05-01,34656.490900000004,31440.99873118866,33048.744815594335
Kabupaten Pasuruan,2025-06-01,19376.892000000003,22499.256159420092,20938.074079710048
Kabupaten Pasuruan,2025-07-01,22134.912999999993,23657.649375675388,22896.28118783769
Kabupaten Pasuruan,2025-08-01,23825.109000000008,20651.586898308316,22238.347949154162
Kabupaten Pasuruan,2025-09-01,18965.929799999994,15577.715232551402,17271.822516275697
Kabupaten Pasuruan,2025-10-01,19107.505599999997,17186.772098501366,18147.13884925068
Kabupaten Pasuruan,2025-11-01,19402.6389,17327.54651916779,18365.092709583896
Kabupaten Pasuruan,2025-12-01,9457.833800000004,15413.524936103528,12435.679368051766
Kabupaten Ponorogo,2025-01-01,19019.751799999995,16841.46947082411,17930.610635412053
Kabupaten Ponorogo,2025-02-01,3803.825699999999,2494.193164757137,3149.009432378568
Kabupaten Ponorogo,2025-03-01,40032.3994,51211.84806128043,45622.12373064022
Kabupaten Ponorogo,2025-04-01,93238.49979999996,87552.9555110275,90395.72765551374
Kabupaten Ponorogo,2025-05-01,23958.013300000002,22986.076342925833,23472.044821462918
Kabupaten Ponorogo,2025-06-01,12045.16309999999,8490.280139369775,10267.721619684882
Kabupaten Ponorogo,2025-07-01,41994.62719999999,42321.051292719734,42157.83924635986
Kabupaten Ponorogo,2025-08-01,50899.7213,44864.725113173365,47882.223206586685
Kabupaten Ponorogo,2025-09-01,21739.704200000004,16842.589477996487,19291.146838998247
Kabupaten Ponorogo,2025-10-01,4682.875099999999,6589.729628937673,5636.3023644688365
Kabupaten Ponorogo,2025-11-01,7090.639900000001,5417.582469524597,6254.1111847623
Kabupaten Ponorogo,2025-12-01,38666.55590000001,29170.086784856332,33918.32134242817
Kabupaten Probolinggo,2025-01-01,6599.180999999998,7429.997664178519,7014.589332089258
Kabupaten Probolinggo,2025-02-01,6276.461999999997,4589.638934390328,5433.050467195162
Kabupaten Probolinggo,2025-03-01,13828.729299999999,9976.48493487665,11902.607117438325
Kabupaten Probolinggo,2025-04-01,45280.6884,32419.66818938452,38850.17829469226
Kabupaten Probolinggo,2025-05-01,41970.2799,38494.66587974323,40232.47288987161
Kabupaten Probolinggo,2025-06-01,13233.745700000001,14981.60820320638,14107.67695160319
Kabupaten Probolinggo,2025-07-01,7101.946800000001,5708.884827402387,6405.415813701194
Kabupaten Probolinggo,2025-08-01,8159.735399999997,7769.178490522536,7964.456945261267
Kabupaten Probolinggo,2025-09-01,14914.785699999999,12028.905078301648,13471.845389150823
Kabupaten Probolinggo,2025-10-01,5941.668399999999,6887.652876613145,6414.660638306572
Kabupaten Probolinggo,2025-11-01,4800.475,2296.077520667618,3548.276260333809
Kabupaten Probolinggo,2025-12-01,4839.218400000001,4317.2023458006215,4578.210372900311
Kabupaten Sampang,2025-01-01,804.4708,5262.883252713964,3033.677026356982
Kabupaten Sampang,2025-02-01,5149.121549999998,8971.037752674758,7060.079651337378
Kabupaten Sampang,2025-03-01,43991.42029999998,54006.70990196189,48999.06510098094
Kabupaten Sampang,2025-04-01,46009.15870000001,27731.64661436636,36870.402657183186
Kabupaten Sampang,2025-05-01,10358.913699999997,8548.984141946266,9453.948920973133
Kabupaten Sampang,2025-06-01,8346.499099999999,4818.480820689053,6582.4899603445265
Kabupaten Sampang,2025-07-01,20660.262899999987,22599.83919613145,21630.051048065718
Kabupaten Sampang,2025-08-01,6099.836299999998,9384.775819185732,7742.3060595928655
Kabupaten Sampang,2025-09-01,2686.5896,0.0,726.8978457268346
Kabupaten Sampang,2025-10-01,1230.8496499999999,0.0,569.2091530443544
Kabupaten Sampang,2025-11-01,971.5251000000005,492.47098294914593,731.9980414745733
Kabupaten Sampang,2025-12-01,797.5870499999999,4086.662077014097,2442.1245635070486
Kabupaten Sidoarjo,2025-01-01,4645.115799999997,5357.833275182747,5001.474537591372
Kabupaten Sidoarjo,2025-02-01,10564.895599999998,10888.39253841249,10726.644069206244
